Code,Parent,Name_fr
"51620","5162","Personnel de compagnie et valets de chambre"
"51630","5163","Agents de pompes funèbres et embaumeurs"
"51640","5164","Toiletteurs et gardiens d’animaux"
"51650","5165","Moniteurs d’auto-école"
"51690","5169","Personnel des services directs aux particuliers, non classé ailleurs"
"52000","5200","Commerçants et vendeurs, sip"
"52100","5210","Vendeurs sur les marchés et vendeurs ambulants, sip"
"52110","5211","Vendeurs à l’étal et sur les marchés"
"52120","5212","Vendeurs ambulants de comestibles"
"52200","5220","Commerçants et vendeurs, magasins, sip"
"52210","5221","Commerçants, magasins"
"52220","5222","Superviseurs, magasins"
"52230","5223","Vendeurs, magasins"
"52231","5223","Droguistes"
"52300","5230","Caissiers et billettistes"
"52400","5240","Autres vendeurs, sip"
"52410","5241","Mannequins et autres modèles"
"52420","5242","Démonstrateurs en magasin"
"52430","5243","Vendeurs au porte-à-porte"
"52440","5244","Télévendeurs"
"52450","5245","Pompistes"
"52460","5246","Commis au comptoir, restauration rapide"
"52490","5249","Vendeurs non classés ailleurs"
"53000","5300","Auxililaires des soins et de l'assistance, sip"
"53110","5311","Gardes d’enfants"
"53120","5312","Aides-enseignants"
"53200","5320","Auxiliaires de soins, sip"
"53210","5321","Auxiliaires de soins en institution"
"53220","5322","Auxiliaires de soins à domicile et aides familiales, sip"
"53221","5322","Auxiliaires de soins à domicile"
"53222","5322","Aides à domicile"
"53290","5329","Auxiliaires de soins et assimilés, non classés ailleurs"
"54100","5410","Personnel des services de protection et de sécurité, sip"
"54110","5411","Pompiers"
"54120","5412","Agents de police"
"54130","5413","Agents de détention"
"54140","5414","Personnel des services de sécurité"
"54190","5419","Personnel des services de protection et de sécurité, non classé ailleurs"
"60000","6000","Agriculteurs et ouvriers qualifiés de l’agriculture, de la sylviculture et de la pêche, sip"
"61000","6100","Agriculteurs et ouvriers qualifiés de l’agriculture commerciale, sip"
"61100","6110","Agriculteurs et ouvriers qualifiés, cultures, sip"
"61110","6111","Agriculteurs et ouvriers qualifiés, cultures maraîchères"
